"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2023";"90";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Total";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2023";"89.8";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"25-29 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2023";"86.5";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"20-24 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2023";"93.3";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"15-19 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2023";"89.4";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Mujeres";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2023";"90.7";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Hombres";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2018";"86.3";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Total";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2018";"89.7";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"25-29 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2018";"82.8";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"20-24 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2018";"86.1";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"15-19 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2018";"85.3";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Mujeres";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2018";"87.3";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Hombres";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2013";"75.3";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Total";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2013";"72.1";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"25-29 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2013";"76.6";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"20-24 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2013";"79.1";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"15-19 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2013";"71.6";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Mujeres";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2013";"78.8";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Hombres";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2007";"67.6";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Total";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2007";"65.5";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"25-29 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2007";"70.5";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"20-24 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2007";"68.2";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"15-19 años";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2007";"64.6";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Mujeres";"";"";
"Actividad física intensa o moderada en la población de 15 a 29 años, según sexo y grupos de edad";"2007";"70.4";"Actividad física";"Actividad física + moderada";"Sexo y 3 grupos de edad";"Hombres";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"37.6";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"28.5";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"37.3";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"32.6";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"33.7";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"34.6";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"38.9";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
